"date";"Indicator"
"2023-10-11";0,6072
"2023-10-12";0,8868
"2023-10-13";0,733
"2023-10-14";0,6274
"2023-10-15";0,5294
"2023-10-16";0,4382
"2023-10-17";0,3526
"2023-10-18";0,6274
"2023-10-19";0,3344
"2023-10-20";0,4854
"2023-10-21";0,0524
"2023-10-22";0,1494
"2023-10-23";0,2518
"2023-10-24";0,3606
"2023-10-25";0,1036
"2023-10-26";0
"2023-10-27";0
"2023-10-28";0
"2023-10-29";0,0974
"2023-10-30";0,165
"2023-10-31";0,481
"2023-11-01";0,4694
"2023-11-02";0,4174
"2023-11-03";0,3052
"2023-11-04";0,1444
"2023-11-05";0,0132
"2023-11-06";0,0216
"2023-11-07";0,2562
"2023-11-08";0,2616
"2023-11-09";0,2746
"2023-11-10";0,1974
"2023-11-11";0,2418
"2023-11-12";0,4902
"2023-11-13";0,2224
"2023-11-14";0,3698
"2023-11-15";0,148
"2023-11-16";0,7644
"2023-11-17";0,6776
"2023-11-18";0,6356
"2023-11-19";1
"2023-11-20";1
"2023-11-21";1
"2023-11-22";0,82
"2023-11-23";0,4758
"2023-11-24";0,4884
"2023-11-25";0,7746
"2023-11-26";1
"2023-11-27";0,4392
"2023-11-28";0,2364
"2023-11-29";0,0516
"2023-11-30";0,0814
"2023-12-01";0,0668
"2023-12-02";0,004
"2023-12-03";0,006
"2023-12-04";0,0144
"2023-12-05";0,024
"2023-12-06";0,047
"2023-12-07";0,0724
"2023-12-08";0,1234
"2023-12-09";0,2286
"2023-12-10";0,4056
"2023-12-11";0,7624
"2023-12-12";0,5446
"2023-12-13";0,6194
"2023-12-14";0,5856
"2023-12-15";0,8278
"2023-12-16";0,799
"2023-12-17";1
"2023-12-18";0,924
"2023-12-19";0,934
"2023-12-20";0,9408
"2023-12-21";0,9488
"2023-12-22";0,9584
"2023-12-23";0,7354
"2023-12-24";0,526
"2023-12-25";0,8122
"2023-12-26";0,8416
"2023-12-27";0,8956
"2023-12-28";0,3872
"2023-12-29";0,3174
"2023-12-30";0,3556
"2023-12-31";0,22
"2024-01-01";0,0624
"2024-01-02";0,1888
"2024-01-03";0,3332
"2024-01-04";0,0252
"2024-01-05";0,1082
"2024-01-06";0,3014
"2024-01-07";0,313
"2024-01-08";0,4274
"2024-01-09";0,5864
"2024-01-10";0,171
"2024-01-11";0,1878
"2024-01-12";0,027
"2024-01-13";0,033
"2024-01-14";0,039
"2024-01-15";0,0104
"2024-01-16";0,0216
"2024-01-17";0,1992
"2024-01-18";0,2714
"2024-01-19";0,1648
"2024-01-20";0,332
"2024-01-21";0,5764
"2024-01-22";0,565
"2024-01-23";0,6682
"2024-01-24";0,8848
"2024-01-25";0,8612
"2024-01-26";0,4556
"2024-01-27";0,659
"2024-01-28";0,9094
"2024-01-29";0,8428
"2024-01-30";0,7796
"2024-01-31";0,6738
"2024-02-01";0,6198
"2024-02-02";0,5694
"2024-02-03";0,4486
"2024-02-04";0,399
"2024-02-05";0,21
"2024-02-06";0,5218
"2024-02-07";0,3132
"2024-02-08";0
"2024-02-09";0,3456
"2024-02-10";0,3926
"2024-02-11";0,4564
"2024-02-12";0,7762
"2024-02-13";0,7974
"2024-02-14";0,8218
"2024-02-15";1
"2024-02-16";0,928
"2024-02-17";0,934
"2024-02-18";0,8236
"2024-02-19";0,727
"2024-02-20";0,6516
"2024-02-21";0,5922
"2024-02-22";0,5464
"2024-02-23";0,5106
"2024-02-24";0,5038
"2024-02-25";0,4936
"2024-02-26";0,4786
"2024-02-27";0,4772
"2024-02-28";0,4764
"2024-02-29";0,2656
"2024-03-01";0,434
"2024-03-02";0,5966
"2024-03-03";1
"2024-03-04";0,508
"2024-03-05";0,1924
"2024-03-06";0,0712
"2024-03-07";0,6776
"2024-03-08";0,56
"2024-03-09";0,456
"2024-03-10";0,3964
"2024-03-11";0,3704
"2024-03-12";0,3494
"2024-03-13";0,3524
"2024-03-14";0,3772
"2024-03-15";0,7032
"2024-03-16";0,2776
"2024-03-17";0,449
"2024-03-18";0,1312
"2024-03-19";0,128
"2024-03-20";0,0432
"2024-03-21";0,0774
"2024-03-22";0,0612
"2024-03-23";0,4276
"2024-03-24";0,5728
"2024-03-25";0,752
"2024-03-26";0,2022
"2024-03-27";0,0678
"2024-03-28";0,3804
"2024-03-29";0,778
"2024-03-30";0,5538
"2024-03-31";0,5732
"2024-04-01";0,5512
"2024-04-02";0,5332
"2024-04-03";0,5192
"2024-04-04";0,5088
"2024-04-05";0,6668
"2024-04-06";0,6218
"2024-04-07";0,6892
"2024-04-08";0,6194
"2024-04-09";0,6264
"2024-04-10";0,592
"2024-04-11";0,6526
"2024-04-12";0,6592
"2024-04-13";0,9052
"2024-04-14";0,4
"2024-04-15";0,2704
"2024-04-16";0,1576
"2024-04-17";0,0588
"2024-04-18";0
"2024-04-19";0,006
"2024-04-20";0,3868
"2024-04-21";0,4282
"2024-04-22";0,4088
"2024-04-23";0,5228
"2024-04-24";0,5022
"2024-04-25";0,5312
"2024-04-26";0,5622
"2024-04-27";0,557
