"date";"Indicator"
"2026-02-13";0,2312
"2026-02-14";1
"2026-02-15";1
"2026-02-16";1
"2026-02-17";0,8932
"2026-02-18";0,795
"2026-02-19";0,184
"2026-02-20";0,1
"2026-02-21";0,176
"2026-02-22";0,12
"2026-02-23";0,0748
"2026-02-24";0,4512
"2026-02-25";0,4532
"2026-02-26";0,089
"2026-02-27";0,409
"2026-02-28";0,653
"2026-03-01";0,6116
"2026-03-02";0,575
"2026-03-03";0,8704
"2026-03-04";0,7858
"2026-03-05";0,8114
"2026-03-06";0,8284
"2026-03-07";0,8232
"2026-03-08";0,812
"2026-03-09";0,8064
"2026-03-10";0,5496
"2026-03-11";0,408
"2026-03-12";0,447
"2026-03-13";0,45
"2026-03-14";0,575
"2026-03-15";0,6248
"2026-03-16";0,1328
"2026-03-17";0
"2026-03-18";0
"2026-03-19";0,7668
"2026-03-20";0,4996
"2026-03-21";0,3188
"2026-03-22";0,4114
"2026-03-23";0,5232
"2026-03-24";0,6256
"2026-03-25";0,6616
"2026-03-26";0,7018
"2026-03-27";0,7468
"2026-03-28";0,7978
"2026-03-29";0,2586
"2026-03-30";1
"2026-03-31";0,9352
"2026-04-01";0,88
